0,0,0|140.556,199.139,100
26.3542,87.1235,0|30.7466,93.3466,3.125
26.3542,93.3466,0|30.7466,99.5697,3.125
17.5695,74.6773,6.25|26.3542,87.1235,12.5
17.5695,74.6773,6.25|21.9619,80.9004,9.375
17.5695,80.9004,6.25|21.9619,87.1235,9.375
26.3542,74.6773,6.25|35.139,87.1235,12.5
26.3542,74.6773,6.25|30.7466,80.9004,9.375
26.3542,80.9004,6.25|30.7466,87.1235,9.375
17.5695,87.1235,6.25|26.3542,99.5697,12.5
17.5695,87.1235,6.25|21.9619,93.3466,9.375
17.5695,93.3466,6.25|21.9619,99.5697,9.375
26.3542,87.1235,6.25|35.139,99.5697,12.5
26.3542,87.1235,6.25|30.7466,93.3466,9.375
26.3542,93.3466,6.25|30.7466,99.5697,9.375
0,49.7848,12.5|17.5695,74.6773,25
0,49.7848,12.5|8.78475,62.2311,18.75
0,49.7848,12.5|4.39237,56.008,15.625
0,56.008,12.5|4.39237,62.2311,15.625
8.78475,49.7848,12.5|17.5695,62.2311,18.75
8.78475,49.7848,12.5|13.1771,56.008,15.625
8.78475,56.008,12.5|13.1771,62.2311,15.625
0,62.2311,12.5|8.78475,74.6773,18.75
0,62.2311,12.5|4.39237,68.4542,15.625
0,68.4542,12.5|4.39237,74.6773,15.625
8.78475,62.2311,12.5|17.5695,74.6773,18.75
8.78475,62.2311,12.5|13.1771,68.4542,15.625
8.78475,68.4542,12.5|13.1771,74.6773,15.625
0,49.7848,18.75|8.78475,62.2311,25
0,49.7848,18.75|4.39237,56.008,21.875
0,56.008,18.75|4.39237,62.2311,21.875
8.78475,49.7848,18.75|17.5695,62.2311,25
8.78475,49.7848,18.75|13.1771,56.008,21.875
8.78475,56.008,18.75|13.1771,62.2311,21.875
0,62.2311,18.75|8.78475,74.6773,25
0,62.2311,18.75|4.39237,68.4542,21.875
0,68.4542,18.75|4.39237,74.6773,21.875
8.78475,62.2311,18.75|17.5695,74.6773,25
8.78475,62.2311,18.75|13.1771,68.4542,21.875
